id,nombre,precio,cantidad,en_stock,fecha_ingreso
10000,Auriculares Modelo 466,1005.85,35,si,2025-02-06
10001,Cable HDMI Modelo 860,1227.38,12,si,2025-02-26
10002,Procesador Modelo 460,1338.27,20,si,2025-04-16
10003,Hub USB Modelo 127,450.68,14,si,2025-03-28
10004,Adaptador Bluetooth Modelo 577,1731.87,16,si,2025-07-05
10005,Memoria RAM Modelo 331,236.39,40,si,2025-02-01
10006,Escaner Modelo 915,1000.62,9,si,2025-05-16
10007,Procesador Modelo 220,872.29,19,si,2025-01-28
10008,Laptop Modelo 532,1685.62,27,si,2025-03-16
10009,SSD Externo Modelo 108,236.11,15,si,2025-05-23
10010,Camara IP Modelo 915,455.89,31,si,2025-02-01
10011,Joystick Modelo 558,204.13,33,si,2025-05-19
10012,Impresora Modelo 231,357.09,41,si,2025-03-17
10013,Adaptador Bluetooth Modelo 707,149.91,48,si,2025-06-30
10014,Tablet Modelo 258,1336.19,48,si,2025-03-22
10015,Teclado Modelo 887,1711.5,19,si,2025-05-15
10016,Joystick Modelo 732,513.35,12,si,2025-03-16
10017,Smartwatch Modelo 759,1610.97,34,si,2025-06-24
10018,SSD Externo Modelo 346,1143.85,31,si,2025-05-11
10019,Disco Duro Modelo 740,238.35,33,si,2025-04-24
10020,Tarjeta Madre Modelo 397,1234.35,4,si,2025-02-17
10021,Consola de Juegos Modelo 700,1881.44,28,si,2025-04-26
10022,Memoria RAM Modelo 815,523.6,22,si,2025-02-14
10023,Memoria RAM Modelo 270,1568.28,5,si,2025-03-28
10024,Tablet Modelo 696,1252.67,40,si,2025-06-23
10025,Auriculares Modelo 186,21.38,16,si,2025-05-19
10026,Tarjeta de Video Modelo 265,894.07,34,si,2025-06-09
10027,Tarjeta Madre Modelo 689,1082.29,33,si,2025-05-24
10028,Escaner Modelo 639,1359.58,28,si,2025-03-10
10029,Monitor Modelo 824,1632.73,34,si,2025-01-29
10030,Proyector Modelo 544,1069.17,21,si,2025-04-05
10031,Procesador Modelo 902,1349.65,23,si,2025-02-10
10032,Tablet Modelo 769,1117.28,38,si,2025-03-06
10033,Consola de Juegos Modelo 935,1256.0,41,si,2025-03-27
10034,Tablet Modelo 969,208.93,0,no,2025-05-31
10035,Auriculares Modelo 454,1385.23,4,si,2025-04-05
10036,Adaptador Bluetooth Modelo 389,1992.27,12,si,2025-04-07
10037,Fuente de Poder Modelo 496,1347.09,41,si,2025-06-04
10038,Hub USB Modelo 543,1912.68,24,si,2025-03-30
10039,Router Modelo 804,1031.47,33,si,2025-04-25
10040,Smartphone Modelo 423,527.37,38,si,2025-03-06
10041,Adaptador Bluetooth Modelo 192,954.12,48,si,2025-07-18
10042,Impresora Modelo 228,333.98,34,si,2025-02-04
10043,Auriculares Modelo 545,1430.91,19,si,2025-04-05
10044,Laptop Modelo 989,1331.01,8,si,2025-04-03
10045,Monitor Modelo 650,1447.12,37,si,2025-04-05
10046,Escaner Modelo 294,1899.63,2,si,2025-03-17
10047,Proyector Modelo 290,1772.35,12,si,2025-04-24
10048,Cable HDMI Modelo 328,1770.34,19,si,2025-06-16
10049,Monitor Modelo 160,1384.42,6,si,2025-03-27
10050,Smartphone Modelo 776,623.16,33,si,2025-06-12
10051,Laptop Modelo 791,1324.77,7,si,2025-03-05
10052,Procesador Modelo 254,767.74,4,si,2025-04-16
10053,Smartwatch Modelo 371,1743.71,30,si,2025-03-17
10054,Joystick Modelo 590,1697.92,0,no,2025-06-09
10055,Parlantes Modelo 586,1000.12,3,si,2025-07-07
10056,Smartphone Modelo 395,195.23,41,si,2025-02-24
10057,Adaptador Bluetooth Modelo 384,600.95,10,si,2025-02-11
10058,Joystick Modelo 981,203.6,23,si,2025-04-05
10059,Smartphone Modelo 488,1158.29,29,si,2025-03-14
10060,Cable HDMI Modelo 668,1592.29,28,si,2025-07-18
10061,Tarjeta de Video Modelo 778,1974.96,44,si,2025-01-25
10062,Tablet Modelo 560,699.4,28,si,2025-03-08
10063,Teclado Modelo 627,1864.78,13,si,2025-07-12
10064,Adaptador Bluetooth Modelo 153,808.31,32,si,2025-07-10
10065,Monitor Modelo 561,1046.4,34,si,2025-03-15
10066,Smartphone Modelo 770,1438.39,40,si,2025-06-10
10067,Camara IP Modelo 546,1890.16,15,si,2025-06-01
10068,Monitor Modelo 175,1786.4,25,si,2025-03-08
10069,Consola de Juegos Modelo 792,708.38,29,si,2025-06-25
10070,Router Modelo 228,1125.9,3,si,2025-02-17
10071,Microfono Modelo 463,595.58,20,si,2025-05-04
10072,Tablet Modelo 887,182.2,1,si,2025-04-24
10073,Fuente de Poder Modelo 407,998.23,26,si,2025-06-26
10074,Fuente de Poder Modelo 618,278.5,27,si,2025-04-20
10075,Memoria RAM Modelo 438,1899.63,10,si,2025-02-09
10076,Fuente de Poder Modelo 291,1241.59,46,si,2025-06-25
10077,Case Modelo 134,1526.36,46,si,2025-06-05
10078,Cable HDMI Modelo 244,978.35,30,si,2025-03-29
10079,Parlantes Modelo 952,911.28,29,si,2025-06-06
10080,Procesador Modelo 619,289.18,5,si,2025-03-26
10081,Cable HDMI Modelo 287,1480.78,18,si,2025-06-04
10082,Joystick Modelo 455,137.48,13,si,2025-03-14
10083,Joystick Modelo 361,1178.47,0,no,2025-04-03
10084,Joystick Modelo 451,1977.94,13,si,2025-04-10
10085,Case Modelo 490,387.22,41,si,2025-03-22
10086,Mouse Modelo 530,1523.65,14,si,2025-03-21
10087,Microfono Modelo 300,1815.36,29,si,2025-02-12
10088,Auriculares Modelo 139,84.29,6,si,2025-07-10
10089,Cable HDMI Modelo 270,1716.62,30,si,2025-04-22
10090,Smartwatch Modelo 109,814.21,37,si,2025-02-05
10091,Procesador Modelo 393,894.96,50,si,2025-06-20
10092,Laptop Modelo 805,1846.51,38,si,2025-06-18
10093,Tarjeta de Video Modelo 242,1374.87,44,si,2025-07-08
10094,Proyector Modelo 527,1850.95,47,si,2025-06-08
10095,Disco Duro Modelo 848,1022.53,17,si,2025-03-06
10096,Microfono Modelo 630,1445.02,50,si,2025-05-27
10097,Camara IP Modelo 465,980.75,12,si,2025-03-28
10098,Adaptador Bluetooth Modelo 449,1642.14,24,si,2025-07-06
10099,SSD Externo Modelo 213,1600.19,45,si,2025-04-08
10100,Smartphone Modelo 936,713.98,47,si,2025-04-14
10101,Disco Duro Modelo 811,201.33,19,si,2025-06-01
10102,Tarjeta de Video Modelo 988,608.08,17,si,2025-06-29
10103,Laptop Modelo 586,1337.94,40,si,2025-07-14
10104,Impresora Modelo 147,249.3,19,si,2025-04-08
10105,Webcam Modelo 876,667.22,31,si,2025-06-29
10106,Router Modelo 198,1130.4,2,si,2025-07-13
10107,Fuente de Poder Modelo 998,1886.75,27,si,2025-04-14
10108,Parlantes Modelo 645,250.28,49,si,2025-07-12
10109,Impresora Modelo 569,1345.33,32,si,2025-04-21
10110,Tarjeta de Video Modelo 571,1442.7,3,si,2025-03-11
10111,Joystick Modelo 126,1502.9,36,si,2025-05-07
10112,Smartwatch Modelo 388,1233.18,2,si,2025-01-29
10113,Cooler Modelo 460,668.38,39,si,2025-04-18
10114,Camara IP Modelo 184,696.92,5,si,2025-06-21
10115,Consola de Juegos Modelo 982,1582.11,28,si,2025-03-03
10116,Teclado Modelo 853,1558.86,42,si,2025-07-22
10117,Cable HDMI Modelo 910,112.32,23,si,2025-04-11
10118,Smartphone Modelo 689,577.23,28,si,2025-04-27
10119,Case Modelo 139,667.31,38,si,2025-06-02
10120,Cooler Modelo 210,1638.45,41,si,2025-05-25
10121,SSD Externo Modelo 388,1196.45,50,si,2025-05-08
10122,Tablet Modelo 321,794.43,11,si,2025-04-06
10123,Disco Duro Modelo 773,850.23,0,no,2025-04-27
10124,Tarjeta de Video Modelo 848,1811.47,22,si,2025-04-27
10125,Case Modelo 169,817.54,25,si,2025-07-15
10126,Monitor Modelo 815,1521.51,30,si,2025-05-03
10127,Memoria RAM Modelo 807,1576.43,7,si,2025-03-01
10128,Tarjeta de Video Modelo 141,1057.5,29,si,2025-07-16
10129,Escaner Modelo 152,1676.81,50,si,2025-07-12
10130,Consola de Juegos Modelo 287,1892.56,3,si,2025-03-19
10131,Webcam Modelo 765,1256.41,23,si,2025-05-22
10132,Tarjeta Madre Modelo 726,1205.3,6,si,2025-03-04
10133,Hub USB Modelo 275,1773.09,19,si,2025-05-24
10134,Camara IP Modelo 441,1225.79,6,si,2025-06-27
10135,Cooler Modelo 936,38.33,43,si,2025-04-23
10136,Monitor Modelo 750,521.89,27,si,2025-03-29
10137,Monitor Modelo 352,372.8,27,si,2025-05-19
10138,Tarjeta de Video Modelo 689,1248.06,18,si,2025-04-22
10139,Monitor Modelo 538,1216.99,43,si,2025-03-20
10140,Mouse Modelo 341,926.93,22,si,2025-01-29
10141,Microfono Modelo 700,1262.93,47,si,2025-07-03
10142,Tarjeta de Video Modelo 598,917.57,26,si,2025-04-17
10143,Disco Duro Modelo 338,1635.99,16,si,2025-04-18
10144,Smartphone Modelo 117,331.84,47,si,2025-05-03
10145,Procesador Modelo 129,235.48,46,si,2025-04-17
10146,Adaptador Bluetooth Modelo 110,341.93,31,si,2025-07-13
10147,Tablet Modelo 964,1539.95,41,si,2025-06-10
10148,Consola de Juegos Modelo 700,894.94,2,si,2025-01-26
10149,Mouse Modelo 539,276.37,34,si,2025-07-23
10150,Smartphone Modelo 951,462.33,9,si,2025-03-09
10151,Hub USB Modelo 603,761.58,38,si,2025-06-16
10152,Case Modelo 750,1696.2,46,si,2025-02-20
10153,Joystick Modelo 868,395.17,18,si,2025-05-26
10154,Webcam Modelo 708,835.29,15,si,2025-02-01
10155,SSD Externo Modelo 914,471.27,50,si,2025-01-25
10156,Cable HDMI Modelo 731,1888.73,2,si,2025-06-10
10157,Impresora Modelo 852,501.75,26,si,2025-06-18
10158,Tarjeta de Video Modelo 914,1654.47,2,si,2025-05-24
10159,Disco Duro Modelo 284,153.5,15,si,2025-04-07
10160,Procesador Modelo 323,1617.28,45,si,2025-02-18
10161,Fuente de Poder Modelo 840,1322.71,49,si,2025-05-19
10162,Teclado Modelo 905,1743.68,11,si,2025-04-17
10163,Cable HDMI Modelo 179,720.12,41,si,2025-04-10
10164,Escaner Modelo 636,172.13,44,si,2025-05-22
10165,Microfono Modelo 572,1422.46,7,si,2025-04-24
10166,Memoria RAM Modelo 246,791.64,13,si,2025-05-18
10167,Tablet Modelo 167,1331.53,47,si,2025-02-14
10168,Proyector Modelo 357,312.44,9,si,2025-07-19
10169,Camara IP Modelo 388,310.02,35,si,2025-06-22
10170,Mouse Modelo 137,1653.84,30,si,2025-03-24
10171,Smartphone Modelo 827,833.21,35,si,2025-07-14
10172,Consola de Juegos Modelo 400,1856.04,14,si,2025-02-24
10173,Parlantes Modelo 312,1017.32,4,si,2025-02-11
10174,Webcam Modelo 254,1328.49,8,si,2025-01-28
10175,Monitor Modelo 704,461.02,22,si,2025-05-01
10176,Smartphone Modelo 169,515.16,48,si,2025-04-16
10177,Router Modelo 719,1670.44,11,si,2025-05-22
10178,Cooler Modelo 592,1878.89,34,si,2025-03-19
10179,Case Modelo 542,1952.73,10,si,2025-02-23
10180,Parlantes Modelo 636,58.03,10,si,2025-03-31
10181,Impresora Modelo 703,1312.65,14,si,2025-06-16
10182,Monitor Modelo 969,1164.46,27,si,2025-03-02
10183,Procesador Modelo 344,967.26,33,si,2025-03-15
10184,Impresora Modelo 739,519.8,21,si,2025-06-19
10185,Fuente de Poder Modelo 705,1547.2,38,si,2025-04-19
10186,Auriculares Modelo 924,1765.46,49,si,2025-05-05
10187,Cable HDMI Modelo 209,509.19,4,si,2025-04-15
10188,Parlantes Modelo 644,1872.8,32,si,2025-07-09
10189,Monitor Modelo 889,1403.67,30,si,2025-01-31
10190,Proyector Modelo 426,98.05,15,si,2025-02-24
10191,Smartwatch Modelo 472,1075.22,23,si,2025-03-26
10192,Hub USB Modelo 502,1104.46,4,si,2025-07-04
10193,Camara IP Modelo 886,1354.44,43,si,2025-02-17
10194,Tablet Modelo 130,797.16,3,si,2025-06-12
10195,Consola de Juegos Modelo 808,1863.96,14,si,2025-05-27
10196,Tarjeta Madre Modelo 861,1397.02,16,si,2025-03-05
10197,Tablet Modelo 590,1817.45,40,si,2025-03-14
10198,Escaner Modelo 831,858.11,18,si,2025-02-26
10199,Proyector Modelo 121,1575.85,45,si,2025-04-12
10200,Auriculares Modelo 634,831.52,42,si,2025-07-24
10201,Escaner Modelo 479,1895.78,2,si,2025-07-24
10202,Tablet Modelo 316,424.36,16,si,2025-05-10
10203,Parlantes Modelo 753,199.84,47,si,2025-05-08
10204,Fuente de Poder Modelo 623,1391.74,46,si,2025-02-01
10205,Auriculares Modelo 633,363.12,2,si,2025-03-14
10206,Monitor Modelo 630,443.77,50,si,2025-05-10
10207,Cable HDMI Modelo 883,688.08,32,si,2025-03-08
10208,Memoria RAM Modelo 847,1128.39,42,si,2025-03-22
10209,Cable HDMI Modelo 902,992.57,33,si,2025-06-18
10210,Hub USB Modelo 407,346.7,32,si,2025-05-16
10211,Smartphone Modelo 223,1534.32,14,si,2025-03-18
10212,Hub USB Modelo 770,1424.36,20,si,2025-02-16
10213,Memoria RAM Modelo 385,297.16,18,si,2025-04-02
10214,Microfono Modelo 561,1883.97,25,si,2025-04-08
10215,Microfono Modelo 599,349.74,6,si,2025-06-29
10216,Microfono Modelo 766,642.49,20,si,2025-04-30
10217,Tablet Modelo 292,1475.81,26,si,2025-03-30
10218,Tarjeta Madre Modelo 596,566.43,23,si,2025-02-05
10219,Monitor Modelo 260,1345.57,47,si,2025-03-20
10220,Impresora Modelo 696,362.28,18,si,2025-02-09
10221,Laptop Modelo 182,335.63,44,si,2025-03-20
10222,Hub USB Modelo 889,174.89,7,si,2025-05-03
10223,Fuente de Poder Modelo 541,1912.33,16,si,2025-06-12
10224,Tablet Modelo 383,1749.2,49,si,2025-05-11
10225,Procesador Modelo 912,380.73,40,si,2025-04-02
10226,Teclado Modelo 658,1973.79,47,si,2025-06-12
10227,Parlantes Modelo 659,624.5,43,si,2025-02-05
10228,Laptop Modelo 993,763.06,16,si,2025-05-27
10229,Adaptador Bluetooth Modelo 852,622.59,34,si,2025-02-25
10230,Router Modelo 383,1843.6,3,si,2025-04-11
10231,Teclado Modelo 916,266.1,18,si,2025-04-23
10232,Cooler Modelo 446,486.51,48,si,2025-03-06
10233,SSD Externo Modelo 218,593.27,5,si,2025-06-03
10234,Laptop Modelo 522,1452.58,12,si,2025-02-26
10235,Tablet Modelo 650,1962.3,12,si,2025-04-25
10236,Disco Duro Modelo 223,145.13,19,si,2025-07-06
10237,Teclado Modelo 583,893.92,42,si,2025-03-30
10238,Hub USB Modelo 433,1817.31,14,si,2025-03-22
10239,Escaner Modelo 340,1697.48,42,si,2025-04-24
10240,Tarjeta Madre Modelo 192,1588.06,22,si,2025-04-25
10241,Router Modelo 711,1135.0,50,si,2025-06-27
10242,Laptop Modelo 969,1037.97,50,si,2025-03-22
10243,Smartwatch Modelo 293,1619.75,36,si,2025-03-03
10244,Laptop Modelo 890,419.55,39,si,2025-05-28
10245,Smartwatch Modelo 322,133.67,25,si,2025-05-18
10246,Tarjeta de Video Modelo 359,824.6,2,si,2025-04-04
10247,Adaptador Bluetooth Modelo 901,1105.86,3,si,2025-02-11
10248,Smartwatch Modelo 530,646.44,47,si,2025-05-23
10249,Fuente de Poder Modelo 643,931.31,36,si,2025-04-08
10250,Mouse Modelo 450,276.42,36,si,2025-04-02
10251,Case Modelo 422,773.95,22,si,2025-01-27
10252,Tarjeta Madre Modelo 379,1541.59,6,si,2025-03-03
10253,Escaner Modelo 321,872.79,42,si,2025-04-15
10254,Smartphone Modelo 706,756.35,12,si,2025-02-19
10255,Memoria RAM Modelo 637,649.84,18,si,2025-04-17
10256,Auriculares Modelo 140,1454.66,18,si,2025-05-04
10257,Webcam Modelo 744,924.52,39,si,2025-05-31
10258,SSD Externo Modelo 284,1393.41,11,si,2025-03-17
10259,Memoria RAM Modelo 652,609.4,28,si,2025-02-02
10260,Tarjeta Madre Modelo 667,114.85,34,si,2025-05-10
10261,Monitor Modelo 834,1946.92,17,si,2025-03-21
10262,Cooler Modelo 237,1446.47,24,si,2025-01-26
10263,Procesador Modelo 188,688.5,41,si,2025-06-17
10264,Adaptador Bluetooth Modelo 725,1457.16,49,si,2025-06-04
10265,Smartwatch Modelo 988,329.49,43,si,2025-04-29
10266,Auriculares Modelo 731,1406.3,33,si,2025-02-23
10267,Smartwatch Modelo 450,486.73,43,si,2025-02-10
10268,Camara IP Modelo 413,1507.13,34,si,2025-07-06
10269,Tablet Modelo 448,1195.94,45,si,2025-02-07
10270,Disco Duro Modelo 308,1608.66,30,si,2025-03-13
10271,Tarjeta Madre Modelo 217,693.35,44,si,2025-05-23
10272,Tarjeta Madre Modelo 378,1999.86,1,si,2025-06-05
10273,Camara IP Modelo 441,1828.04,30,si,2025-02-20
10274,Disco Duro Modelo 297,1734.22,50,si,2025-06-23
10275,Disco Duro Modelo 294,18.18,22,si,2025-02-22
10276,Fuente de Poder Modelo 155,604.74,30,si,2025-04-24
10277,Tablet Modelo 976,1281.86,23,si,2025-04-08
10278,Cooler Modelo 249,154.54,21,si,2025-07-04
10279,Disco Duro Modelo 665,968.4,4,si,2025-02-16
10280,Smartwatch Modelo 959,1645.11,17,si,2025-01-28
10281,Router Modelo 711,328.76,40,si,2025-05-20
